Country,Number of ATMs per 100.000 adults,Number of borrowers from commercial banks per 1.000 adults,Number of credit cards per 1.000 adults,Number of debit cards per 1.000 adults,Number of depositors with commercial banks per 1.000 adults,Number of Non-life insurance policies per 1.000 adults,Outstanding deposits with commercial banks (% of GDP),Outstanding loans from commercial banks (% of GDP)
Portugal,166.25,523.55,892.83,2333.47,816.1892391304347,3245.83,98.44,91.88
Qatar,53.66,220.28,387.1674418604651,1041.9926573426574,777.9,684.9883333333332,131.15,186.76
Republic of Congo,11.91,24.6,387.1674418604651,1041.9926573426574,70.95,29.55,71.07343195266272,56.370295857988175
Romania,63.24,234.28,178.36,978.75,816.1892391304347,910.98,37.01,25.76
Russian Federation,163.6,227.74865979381443,330.04,2246.87,816.1892391304347,980.73,50.16,48.61
Rwanda,4.19,49.09,0.28,59.16,280.59,30.16,23.29,21.48
Samoa,55.47,111.34,387.1674418604651,44.86,1256.15,52.11,56.51,50.11
San Marino,139.19,473.5,460.94,1252.4,1616.49,684.9883333333332,189.51,97.16
São Tomé and Príncipe,22.33,107.05,387.1674418604651,245.44,642.2,37.0,29.06,21.43
Saudi Arabia,68.73,128.21,115.2,1289.73,1220.01,315.63,55.57,50.24
Senegal,6.73,227.74865979381443,387.1674418604651,93.41,237.69,684.9883333333332,44.38,37.04
Serbia,51.35,544.28,191.23,1404.67,816.1892391304347,869.91,53.79,47.97
Seychelles,88.65,285.94,72.92,977.12,2003.86,721.87,8.33,3.94
Singapore,53.92,1073.68,1327.75,2013.29,2400.79,684.9883333333332,158.91,141.2
Slovak Republic,63.34,227.74865979381443,134.35,1128.31,816.1892391304347,684.9883333333332,56.4,61.71
Slovenia,79.59,227.74865979381443,784.9,1541.46,816.1892391304347,684.9883333333332,62.42,42.97
Solomon Islands,14.84,85.21,0.44,394.92,792.09,25.24,24.04,16.65
South Africa,59.04,227.74865979381443,387.1674418604651,1041.9926573426574,816.1892391304347,16.85,47.74,55.83
South Sudan,0.8,1.03,0.02,8.8,92.56,684.9883333333332,71.07343195266272,56.370295857988175
Spain,103.37,433.32,1228.0,1390.87,816.1892391304347,684.9883333333332,96.63,90.78
Sri Lanka,52.562781065088764,227.74865979381443,387.1674418604651,1041.9926573426574,816.1892391304347,684.9883333333332,61.18,52.9
St. Kitts and Nevis,118.11,227.74865979381443,414.74,1374.11,816.1892391304347,684.9883333333332,127.62,66.37
St. Lucia,44.54,227.74865979381443,150.75,966.24,816.1892391304347,684.9883333333332,80.43,78.05
St. Vincent and the Grenadines,36.89,227.74865979381443,113.09,519.79,911.24,684.9883333333332,67.2,47.18
Suriname,44.31,138.87,26.22,717.74,1207.0,827.55,79.34,29.75
Sweden,28.35,227.74865979381443,791.53,1263.83,816.1892391304347,684.9883333333332,69.7,52.22
Switzerland,94.05,227.74865979381443,1087.85,1515.56,816.1892391304347,684.9883333333332,190.62,182.43
Tajikistan,21.2,146.91,0.0,461.42,975.35,684.9883333333332,12.51,10.6
Tanzania,5.94,65.41,387.1674418604651,1041.9926573426574,313.65,684.9883333333332,15.05,11.54
Thailand,108.59,371.09,410.12,1067.67,1332.08,1190.23,87.03,79.53
The Bahamas,117.41,227.74865979381443,277.64,1041.9926573426574,816.1892391304347,684.9883333333332,78.14,68.64
The Gambia,8.11,227.74865979381443,387.1674418604651,62.7,816.1892391304347,684.9883333333332,45.23,7.93
The Netherlands,35.98,227.74865979381443,414.14,2045.65,816.1892391304347,684.9883333333332,96.16,102.44
Timor-Leste,13.45,47.22,0.23,130.93,539.59,684.9883333333332,51.24,11.91
Togo,6.39,34.11,387.1674418604651,128.91,204.77,684.9883333333332,53.37,33.71
Trinidad and Tobago,40.19,227.74865979381443,188.57,664.15,816.1892391304347,547.79,69.65,51.37
Tunisia,32.29,241.14,387.1674418604651,631.9,816.1892391304347,221.18,68.75,77.72
Türkiye,82.26,846.23,1179.34,2255.06,1776.37,993.08,58.42,61.23
Uganda,4.0,60.29,0.43,107.77,521.82,684.9883333333332,16.78,11.53
Ukraine,93.01,227.74865979381443,321.42,761.06,1713.75,3092.06,30.31,22.04
United Arab Emirates,55.98,500.9,514.05,919.5,1305.06,859.98,146.84,138.62
United Kingdom,98.96,227.74865979381443,387.1674418604651,1041.9926573426574,816.1892391304347,684.9883333333332,151.22,136.37
United States,52.562781065088764,227.74865979381443,387.1674418604651,1041.9926573426574,816.1892391304347,684.9883333333332,73.91,46.89
Uruguay,263.54,574.18,1247.05,1068.22,1108.62,684.9883333333332,60.45,27.29
Uzbekistan,49.08,179.61,387.1674418604651,1072.15,631.28,238.15,18.95,45.74
Vanuatu,47.58,73.22,387.1674418604651,1041.9926573426574,667.53,56.54,97.65,59.77
Vietnam,26.28,227.74865979381443,80.42,1184.27,816.1892391304347,684.9883333333332,131.35,111.5
West Bank and Gaza,24.18,152.11,31.47,343.25,621.09,129.09,94.47,50.67
Zambia,9.68,20.84,0.96,220.04,208.87,22.6,31.68,11.85
Zimbabwe,5.77,54.05,1.85,615.52,469.84,684.9883333333332,15.92,5.87
